iter	Passed	Remaining
467	705	801
468	705	799
469	706	796
470	708	795
471	709	793
472	710	791
473	711	789
474	712	787
475	712	784
476	713	782
477	714	780
478	715	777
479	716	776
480	717	773
481	717	771
482	718	769
483	719	766
484	720	764
485	720	762
486	721	760
487	723	758
488	724	757
489	725	755
490	726	753
491	727	750
492	727	748
493	729	746
494	729	744
495	730	742
496	731	740
497	732	738
498	732	735
499	733	733
500	734	731
501	735	729
502	736	727
503	737	725
504	738	724
505	739	722
506	740	720
507	741	718
508	742	716
509	743	714
510	745	713
511	748	713
512	750	712
513	752	711
514	755	711
515	757	710
516	759	709
517	760	707
518	762	706
519	763	704
520	764	703
521	766	701
522	767	700
523	770	700
524	773	699
525	775	698
526	777	697
527	778	696
528	779	694
529	780	692
530	781	689
531	781	687
532	782	685
533	783	683
534	784	682
535	785	680
536	786	678
537	787	676
538	788	674
539	788	671
540	789	669
541	790	667
542	790	665
543	791	663
544	792	661
545	793	659
546	793	657
547	794	655
548	795	653
549	796	651
550	796	649
551	797	647
552	798	645
553	798	643
554	800	641
555	801	640
556	802	638
557	803	636
558	803	634
559	804	632
560	805	630
561	805	628
562	806	626
563	807	624
564	808	622
565	808	620
566	809	618
567	810	616
568	810	614
569	811	612
570	812	610
571	813	608
572	813	606
573	815	604
574	816	603
575	817	601
576	817	599
577	818	597
578	819	595
579	819	593
580	820	591
581	821	589
582	822	588
583	822	586
584	823	584
585	824	582
586	824	580
587	825	578
588	826	576
589	827	574
590	827	572
591	828	571
592	829	569
593	830	567
594	831	565
595	832	564
596	833	562
597	833	560
598	834	558
599	835	556
600	836	555
601	836	553
602	837	551
603	838	549
604	838	547
605	839	545
606	840	544
607	841	542
608	841	540
609	842	538
610	843	537
611	844	535
612	845	533
613	846	532
614	847	530
615	847	528
616	848	526
617	849	525
618	850	523
619	850	521
620	851	519
621	852	518
622	853	516
623	854	514
624	855	513
625	856	511
626	856	509
627	857	507
628	858	506
629	859	504
630	861	503
631	861	501
632	862	500
633	863	498
634	864	496
635	865	495
636	866	493
637	867	492
638	868	490
639	868	488
640	869	487
641	870	485
642	871	483
643	872	482
644	873	480
645	874	479
646	875	477
647	876	476
648	877	474
649	878	473
650	879	471
651	880	470
652	881	468
653	881	466
654	882	464
655	883	463
656	885	462
657	886	460
658	887	458
659	887	457
660	888	455
661	889	454
662	890	452
663	892	451
664	893	450
665	894	448
666	895	447
667	896	445
668	897	444
669	898	442
670	899	441
671	900	439
672	901	437
673	902	436
674	902	434
675	903	433
676	904	431
677	906	430
678	907	428
679	908	427
680	909	425
681	910	424
682	911	423
683	912	421
684	913	419
685	914	418
686	914	416
687	915	415
688	917	414
689	918	412
690	919	411
691	919	409
692	922	408
693	923	407
694	925	406
695	926	404
696	927	403
697	927	401
698	928	399
699	929	398
700	930	397
701	931	395
702	932	394
703	933	392
704	934	391
705	936	389
706	938	388
707	939	387
708	939	385
709	940	384
710	942	382
711	943	381
712	944	380
713	944	378
714	945	377
715	946	375
716	947	374
717	949	372
718	949	371
719	950	369
720	952	368
721	953	367
722	954	365
723	955	364
724	956	362
725	957	361
726	958	360
727	959	358
728	960	357
729	961	355
730	962	354
731	963	352
732	964	351
733	966	350
734	968	349
735	969	347
736	970	346
737	971	344
738	972	343
739	973	341
740	974	340
741	975	339
742	976	337
743	977	336
744	977	334
745	978	333
746	979	331
747	980	330
748	982	329
749	984	328
750	985	326
751	985	325
752	987	323
753	988	322
754	989	321
755	990	319
756	991	318
757	991	316
758	993	315
759	994	314
760	995	312
761	997	311
762	998	310
763	1000	308
764	1000	307
765	1001	305
766	1002	304
767	1003	303
768	1003	301
769	1004	300
770	1005	298
771	1006	297
772	1007	295
773	1007	294
774	1008	292
775	1009	291
776	1009	289
777	1011	288
778	1012	287
